date,dam,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis
2023-07-27,Pong,-0.1818917034002716,0.0,0.0,0.0,73166.96418756277,22.73917514553,,cwc
2023-07-28,Pong,-0.18197026696039864,0.0,0.0,0.0,78999.1622128829,15.182169498363018,,model
2023-07-29,Pong,-0.18127457939714411,0.0,0.0,0.0,71237.26696730257,6.653898945729114,,model
2023-07-30,Pong,-0.17899810657733117,0.0,0.0,0.0,55091.5342235897,0.3923217563723947,,model
2023-07-31,Pong,-0.17436736243347614,0.0,0.0,0.0,45373.68321437739,1.1850977134131178,,model
2023-08-01,Pong,-0.17109165252330097,0.0,0.0,0.0,45402.28861496554,4.747874175896121,,model
2023-08-02,Pong,-0.16854868193432282,0.0,0.0,0.0,47350.752530307815,6.205125933894911,,model
2023-08-03,Pong,-0.23378462437016612,0.0,0.0,0.0,51328.92309705684,12.234513731101758,,cwc
2023-08-04,Pong,-0.23252275561728603,0.0,0.0,0.0,57253.632255741344,12.087499142813751,,model
2023-08-05,Pong,-0.22954933917193254,0.0,0.0,0.0,53843.5819133575,1.270383317785867,,model
2023-08-06,Pong,-0.2177376617692849,0.0,0.0,0.0,51999.585716788846,11.56086733452756,,model
2023-08-07,Pong,-0.18875745610951736,0.0,0.0,0.0,55512.521907156675,4.3732853656006965,,model
2023-08-08,Pong,-0.1544314570389916,0.0,0.0,0.0,48775.59207424368,4.329327428584653,,model
2023-08-09,Pong,-0.07985350902356726,0.0,0.0,0.0,53082.83660700744,11.900747147052629,,model
2023-08-10,Pong,0.026003463792188045,0.16010332656850057,65439.76410611396,0.0,75325.01621722378,39.79288724613855,5.0,cwc
2023-08-11,Pong,0.08464883280315792,0.5211828635690434,146016.34707275967,0.0,118530.96939999245,33.70734731364373,4.0,model
2023-08-12,Pong,0.10798200910043747,0.6648452300313927,146402.78780444726,0.0,131984.07943778424,33.46311773302533,3.0,model
2023-08-13,Pong,0.11520145348489352,0.7092953491064886,146793.13197786958,0.0,233281.27833468054,99.41916813025806,2.0,model
