catchment,model,lead_days,n_days,obs_mean_mm,fc_mean_mm,bias_pct,pearson_r,mae_mm,heavy_days_obs,hit_rate,false_alarm_ratio
Pong,ecmwf_ifs025,4,339,8.88426025720791,7.913900162227116,-10.922238508192377,0.5741771517642722,5.464748909216776,17,0.17647058823529413,0.5714285714285714
Pong,ecmwf_ifs025,5,339,8.88426025720791,8.128949819032393,-8.501669427825735,0.5327637825522056,5.8442130150899505,17,0.17647058823529413,0.7
Pong,ecmwf_ifs025,6,339,8.88426025720791,8.246088248526842,-7.183175528466881,0.5245984871254042,5.977173945053774,17,0.23529411764705882,0.5555555555555556
Pong,ecmwf_ifs025,7,339,8.88426025720791,8.75380346169097,-1.468403578239379,0.5698548307229464,5.827137357504585,17,0.17647058823529413,0.7692307692307693
Pong,gfs_seamless,0,339,8.88426025720791,8.380275565306075,-5.672781720829773,0.5865672301572288,5.470947490864339,17,0.29411764705882354,0.5454545454545454
Pong,gfs_seamless,1,339,8.88426025720791,7.2460633466133775,-18.439316984950352,0.49547972451044675,5.732385789998729,17,0.11764705882352941,0.75
Pong,gfs_seamless,2,339,8.88426025720791,7.202160912745496,-18.93347668532904,0.5068883079807526,5.86062160783852,17,0.058823529411764705,0.8
Pong,gfs_seamless,3,339,8.88426025720791,8.18586088317394,-7.861086391152829,0.46640785735557666,6.343550401773952,17,0.11764705882352941,0.75
Pong,gfs_seamless,4,339,8.88426025720791,9.259563722769325,4.224363702728401,0.3942012117100392,6.752234434569312,17,0.058823529411764705,0.9166666666666666
Pong,gfs_seamless,5,339,8.88426025720791,4.809519677520294,-45.864714244292074,0.31057736389559937,6.7799878260056845,17,0.0,1.0
Pong,gfs_seamless,6,339,8.88426025720791,3.920765754174985,-55.868405014429655,0.2707975402284295,7.057136029599521,17,0.0,1.0
Pong,gfs_seamless,7,339,8.88426025720791,3.9630779369139923,-55.39214495997348,0.1828267542043061,7.191557800390681,17,0.0,1.0
Ranjit Sagar,ecmwf_ifs025,0,339,7.93474556886318,7.5071257469482315,-5.389206474281621,0.7370992471088958,4.191926346286936,16,0.375,0.3333333333333333
Ranjit Sagar,ecmwf_ifs025,1,339,7.93474556886318,5.909345705193345,-25.525706477819888,0.7199744799068006,4.594171177626592,16,0.25,0.2
Ranjit Sagar,ecmwf_ifs025,2,339,7.93474556886318,6.784759452572187,-14.49304336617504,0.6254529228742369,5.112859606742718,16,0.1875,0.625
Ranjit Sagar,ecmwf_ifs025,3,339,7.93474556886318,6.579978844854421,-17.073852113481923,0.5989171760394864,5.18014714604599,16,0.25,0.5
Ranjit Sagar,ecmwf_ifs025,4,339,7.93474556886318,6.647552409076422,-16.22223609585979,0.6572566279355396,4.9258232335259216,16,0.125,0.6
Ranjit Sagar,ecmwf_ifs025,5,339,7.93474556886318,6.936903843088668,-12.575598261022423,0.5383284403773608,5.317433887443382,16,0.125,0.75
Ranjit Sagar,ecmwf_ifs025,6,339,7.93474556886318,6.4769539267005305,-18.372254403256296,0.5872681758733226,5.298506924947532,16,0.125,0.6
Ranjit Sagar,ecmwf_ifs025,7,339,7.93474556886318,6.784420288422697,-14.497317783628585,0.6061791009956508,5.336321682448949,16,0.125,0.6
Ranjit Sagar,gfs_seamless,0,339,7.93474556886318,7.945864606411518,0.140130990361808,0.6707516255587336,5.253589960154333,16,0.25,0.5555555555555556
Ranjit Sagar,gfs_seamless,1,339,7.93474556886318,6.903876340556812,-12.991837222249602,0.6179002213183364,5.057537331522829,16,0.1875,0.5
Ranjit Sagar,gfs_seamless,2,339,7.93474556886318,6.603690425284944,-16.775019841864157,0.5339219910317738,5.530391063216506,16,0.0625,0.6666666666666666
Ranjit Sagar,gfs_seamless,3,339,7.93474556886318,7.01042278576065,-11.649053836454131,0.4483241417889383,5.738300278276409,16,0.0625,0.6666666666666666
Ranjit Sagar,gfs_seamless,4,339,7.93474556886318,8.068482182874442,1.6854556059876629,0.3465078687704708,6.519773375640093,16,0.125,0.8
Ranjit Sagar,gfs_seamless,5,339,7.93474556886318,4.491474869282598,-43.394847001677746,0.40304683747704007,5.753277402973985,16,0.0625,0.6666666666666666
Ranjit Sagar,gfs_seamless,6,339,7.93474556886318,3.4946541265628994,-55.95757801893095,0.3336709833870011,6.05416346145769,16,0.0,1.0
Ranjit Sagar,gfs_seamless,7,339,7.93474556886318,3.4420732644029486,-56.62024403265021,0.2671131515287188,6.1648954076371405,16,0.0,
