dam,horizon_days,rain,n,bias_pct,pearson_r,mae_cusecs,mean_obs_cusecs,mean_pred_cusecs
Bhakra,4,observed rain,27,-5.134963191191864,0.3250832808431688,5851.039970992213,41956.22222222222,39801.78565469645
Bhakra,4,persistence,28,-0.08389175301992638,0.20511222824962896,7471.25,41592.71428571428,41557.82142857143
Bhakra,4,ecmwf_ifs025,27,-14.324068231195147,0.11775336570625063,7653.560836678794,41956.22222222222,35946.38432387925
Bhakra,4,gfs_seamless,27,-12.290692706472324,0.19765832161519095,8087.271730965505,41956.22222222222,36799.51187764423
Bhakra,4,ecmwf_aifs025_single,27,-11.636031633014614,-0.07936574036107572,7925.663307328647,41956.22222222222,37074.182932426535
Bhakra,5,observed rain,26,-6.186766256607911,0.3758067501036488,5676.789846605663,41657.03846153846,39079.81486249782
Bhakra,5,persistence,26,0.7283836972789739,-0.04525523298738476,7691.038461538462,41657.03846153846,41960.46153846154
Bhakra,5,ecmwf_ifs025,26,-14.464881407854538,0.21957828844766344,7595.619706749897,41657.03846153846,35631.39725005257
Bhakra,5,gfs_seamless,26,-12.151146570094264,0.3069234107907622,7874.406262808973,41657.03846153846,36595.23066131638
Bhakra,5,ecmwf_aifs025_single,26,-11.593855724825515,-0.07556712959552314,8089.625151084926,41657.03846153846,36827.38152307262
Pong,1,observed rain,30,0.10439628235781737,0.8587904322231374,5903.687303493754,35570.666666666664,35607.801120276556
Pong,1,persistence,31,2.8156655853932624,0.42321227293663005,11841.516129032258,34815.58064516129,35795.87096774193
Pong,1,ecmwf_ifs025,31,-11.957956056038661,0.8063844210032353,7601.602762315334,34815.58064516129,30652.3488109582
Pong,1,gfs_seamless,31,-12.352760568011833,0.7809630245037223,8063.035157762161,34815.58064516129,30514.895327701444
Pong,1,ecmwf_aifs025_single,31,-9.331144656661854,0.7901761040867444,7245.067629749635,34815.58064516129,31566.888452104522
Pong,2,observed rain,30,-0.02606701892868616,0.8183885243590743,7593.884951694261,34934.8,34925.693539071304
Pong,2,persistence,31,4.591239121933299,-0.04608136868904892,16265.354838709678,34232.096774193546,35803.77419354839
Pong,2,ecmwf_ifs025,30,-28.64449155009101,0.37768957044407464,13811.430623420221,34934.8,24927.904165958807
Pong,2,gfs_seamless,30,-32.35755050508077,0.3704709914460709,14680.325855804871,34934.8,23630.754446151044
Pong,2,ecmwf_aifs025_single,30,-27.086837829416016,0.33328419794025477,13026.257851721393,34934.8,25472.067377969175
Pong,3,observed rain,28,-0.37157867217954943,0.7903274668739789,8769.815421015737,36003.857142857145,35870.074488552294
Pong,3,persistence,29,5.0564016815140365,0.09672618319992879,15921.896551724138,35181.75862068965,36960.68965517241
Pong,3,ecmwf_ifs025,29,-26.266143743839017,0.47187506263875284,13576.499395369308,35181.75862068965,25940.867329768833
Pong,3,gfs_seamless,29,-31.792307106076873,0.3972071389695084,14509.740369935056,35181.75862068965,23996.665874681323
Pong,3,ecmwf_aifs025_single,29,-31.745764310834286,0.3696646157073746,13289.191926222462,35181.75862068965,24013.04044855889
Pong,4,observed rain,27,-0.28723843800085835,0.7718325082044217,8438.481817685812,35764.25925925926,35661.53055960039
Pong,4,persistence,28,7.455357963845024,0.3620734271459529,13975.357142857143,34956.642857142855,37562.78571428572
Pong,4,ecmwf_ifs025,27,-32.081914506787534,0.3698740090069453,13994.295251334323,35764.25925925926,24290.40017971786
Pong,4,gfs_seamless,27,-30.157507778986297,0.4018749485678902,14960.281440063472,35764.25925925926,24978.649991051323
Pong,4,ecmwf_aifs025_single,27,-36.304700639870866,0.12873192311804005,14937.308687543205,35764.25925925926,22780.15199911789
Pong,5,observed rain,26,-1.0322186813780683,0.8034784441791175,7827.565719133897,34825.53846153846,34466.06274764796
Pong,5,persistence,26,8.561687709284957,0.028498242376885696,16071.192307692309,34825.53846153846,37807.192307692305
Pong,5,ecmwf_ifs025,26,-32.006872481007576,0.3809120731490827,14044.609939181015,34825.53846153846,23678.9727753296
Pong,5,gfs_seamless,26,-25.966241100688435,0.5081724112812833,13906.628015323831,34825.53846153846,25782.655180002403
Pong,5,ecmwf_aifs025_single,26,-37.430719802423205,0.24032786595143424,14946.143588314295,34825.53846153846,21790.088740314874
