date,district,flooded_ha,fraction
2015-06-28,Fatehgarh Sahib,0.0,0.0
2015-06-28,Firozpur,0.0,0.0
2015-06-28,Gurdaspur,0.0,0.0
2015-06-28,Hoshiarpur,0.0,0.0
2015-06-28,Jalandhar,0.0,0.0
2015-06-28,Kapurthala,0.0,0.0
2015-06-28,Ludhiana,0.0,0.0
2015-06-28,Mansa,0.0,0.0
2015-06-28,Moga,0.0,0.0
2015-06-28,Muktsar,0.0,0.0
2015-06-28,Nawanshahr,0.0,0.0
2015-06-28,Patiala,0.0,0.0
2015-06-28,Rupnagar,0.0,0.0
2015-06-28,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-28,Sangrur,0.0,0.0
2015-06-28,Tarn Taran,0.0,0.0
2015-06-29,Amritsar,0.0,0.0
2015-06-29,Barnala,0.0,0.0
2015-06-29,Bathinda,0.0,0.0
2015-06-29,Faridkot,0.0,0.0
2015-06-29,Fatehgarh Sahib,0.0,0.0
2015-06-29,Firozpur,0.0,0.0
2015-06-29,Gurdaspur,0.0,0.0
2015-06-29,Hoshiarpur,0.0,0.0
2015-06-29,Jalandhar,0.0,0.0
2015-06-29,Kapurthala,0.0,0.0
2015-06-29,Ludhiana,0.0,0.0
2015-06-29,Mansa,0.0,0.0
2015-06-29,Moga,0.0,0.0
2015-06-29,Muktsar,0.0,0.0
2015-06-29,Nawanshahr,0.0,0.0
2015-06-29,Patiala,0.0,0.0
2015-06-29,Rupnagar,0.0,0.0
2015-06-29,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-29,Sangrur,0.0,0.0
2015-06-29,Tarn Taran,0.0,0.0
2015-06-30,Amritsar,0.0,0.0
2015-06-30,Barnala,0.0,0.0
2015-06-30,Bathinda,0.0,0.0
2015-06-30,Faridkot,0.0,0.0
2015-06-30,Fatehgarh Sahib,0.0,0.0
2015-06-30,Firozpur,0.0,0.0
2015-06-30,Gurdaspur,0.0,0.0
2015-06-30,Hoshiarpur,0.0,0.0
2015-06-30,Jalandhar,0.0,0.0
2015-06-30,Kapurthala,0.0,0.0
2015-06-30,Ludhiana,0.0,0.0
2015-06-30,Mansa,0.0,0.0
2015-06-30,Moga,0.0,0.0
2015-06-30,Muktsar,0.0,0.0
2015-06-30,Nawanshahr,0.0,0.0
2015-06-30,Patiala,0.0,0.0
2015-06-30,Rupnagar,0.0,0.0
2015-06-30,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-30,Sangrur,0.0,0.0
2015-06-30,Tarn Taran,0.0,0.0
2015-07-01,Amritsar,0.0,0.0
2015-07-01,Barnala,0.0,0.0
2015-07-01,Bathinda,0.0,0.0
2015-07-01,Faridkot,0.0,0.0
2015-07-01,Fatehgarh Sahib,0.0,0.0
2015-07-01,Firozpur,0.0,0.0
2015-07-01,Gurdaspur,0.0,0.0
2015-07-01,Hoshiarpur,0.0,0.0
2015-07-01,Jalandhar,0.0,0.0
2015-07-01,Kapurthala,0.0,0.0
2015-07-01,Ludhiana,0.0,0.0
2015-07-01,Mansa,0.0,0.0
2015-07-01,Moga,0.0,0.0
2015-07-01,Muktsar,0.0,0.0
2015-07-01,Nawanshahr,0.0,0.0
2015-07-01,Patiala,0.0,0.0
2015-07-01,Rupnagar,0.0,0.0
2015-07-01,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-01,Sangrur,0.0,0.0
2015-07-01,Tarn Taran,0.0,0.0
2015-07-02,Amritsar,0.0,0.0
2015-07-02,Barnala,0.0,0.0
2015-07-02,Bathinda,0.0,0.0
2015-07-02,Faridkot,0.0,0.0
2015-07-02,Fatehgarh Sahib,0.0,0.0
2015-07-02,Firozpur,0.0,0.0
2015-07-02,Gurdaspur,0.0,0.0
2015-07-02,Hoshiarpur,0.0,0.0
2015-07-02,Jalandhar,0.0,0.0
2015-07-02,Kapurthala,0.0,0.0
2015-07-02,Ludhiana,0.0,0.0
2015-07-02,Mansa,0.0,0.0
2015-07-02,Moga,0.0,0.0
2015-07-02,Muktsar,0.0,0.0
2015-07-02,Nawanshahr,0.0,0.0
2015-07-02,Patiala,0.0,0.0
2015-07-02,Rupnagar,0.0,0.0
2015-07-02,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-02,Sangrur,0.0,0.0
2015-07-02,Tarn Taran,0.0,0.0
2015-07-03,Amritsar,0.0,0.0
2015-07-03,Barnala,0.0,0.0
2015-07-03,Bathinda,0.0,0.0
2015-07-03,Faridkot,0.0,0.0
2015-07-03,Fatehgarh Sahib,0.0,0.0
2015-07-03,Firozpur,0.0,0.0
2015-07-03,Gurdaspur,0.0,0.0
2015-07-03,Hoshiarpur,0.0,0.0
2015-07-03,Jalandhar,0.0,0.0
2015-07-03,Kapurthala,0.0,0.0
2015-07-03,Ludhiana,0.0,0.0
2015-07-03,Mansa,0.0,0.0
2015-07-03,Moga,0.0,0.0
2015-07-03,Muktsar,0.0,0.0
2015-07-03,Nawanshahr,0.0,0.0
2015-07-03,Patiala,0.0,0.0
2015-07-03,Rupnagar,0.0,0.0
2015-07-03,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-03,Sangrur,0.0,0.0
2015-07-03,Tarn Taran,0.0,0.0
2015-07-04,Amritsar,0.0,0.0
2015-07-04,Barnala,0.0,0.0
2015-07-04,Bathinda,0.0,0.0
2015-07-04,Faridkot,0.0,0.0
2015-07-04,Fatehgarh Sahib,0.0,0.0
2015-07-04,Firozpur,565.83,0.001084
2015-07-04,Gurdaspur,0.0,0.0
2015-07-04,Hoshiarpur,0.0,0.0
2015-07-04,Jalandhar,0.0,0.0
2015-07-04,Kapurthala,0.0,0.0
2015-07-04,Ludhiana,0.0,0.0
2015-07-04,Mansa,0.0,0.0
