district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Shahid Bhagat Singh Nagar,2017,2017-08-04,2017-08-14,109.722,78.02,51.918,31.357,68.6,32.67,51.492,17.648,81.522
Tarn Taran,2017,2017-08-04,2017-08-14,16.17,46.931,18.446,2.725,9.275,6.184,12.734,5.233,49.898
Amritsar,2017,2017-08-14,2017-08-24,16.602,29.268,90.2,6.568,6.568,6.568,10.034,6.546,50.991
Barnala,2017,2017-08-14,2017-08-24,4.76,6.838,67.629,0.612,0.612,1.867,3.625,1.746,23.143
Bathinda,2017,2017-08-14,2017-08-24,1.665,0.947,45.905,0.085,0.085,1.272,1.504,0.289,16.548
Faridkot,2017,2017-08-14,2017-08-24,2.476,0.204,21.686,0.0,0.0,2.063,2.476,0.578,8.535
Fatehgarh Sahib,2017,2017-08-14,2017-08-24,58.343,29.533,103.564,8.946,8.946,20.488,41.073,14.186,47.087
Firozpur,2017,2017-08-14,2017-08-24,5.073,2.938,11.457,0.267,0.267,4.083,4.801,0.934,6.462
Gurdaspur,2017,2017-08-14,2017-08-24,16.92,137.68,116.214,4.359,4.416,5.011,9.307,4.363,119.45
Hoshiarpur,2017,2017-08-14,2017-08-24,49.096,211.612,61.917,11.014,11.014,13.59,34.949,12.795,144.882
Jalandhar,2017,2017-08-14,2017-08-24,94.477,65.172,71.094,5.425,5.425,47.295,88.902,38.866,65.358
Kapurthala,2017,2017-08-14,2017-08-24,91.703,81.419,103.275,2.837,2.837,46.329,88.831,37.652,83.644
Ludhiana,2017,2017-08-14,2017-08-24,52.887,37.251,80.297,6.023,6.023,27.22,43.288,11.522,51.787
Mansa,2017,2017-08-14,2017-08-24,0.924,0.429,34.351,0.775,0.775,0.775,0.775,0.138,10.881
Moga,2017,2017-08-14,2017-08-24,17.099,32.607,59.56,1.513,1.513,7.354,13.453,4.923,40.109
Muktsar,2017,2017-08-14,2017-08-24,8.633,0.318,15.156,0.013,0.013,8.14,8.62,1.246,6.37
Patiala,2017,2017-08-14,2017-08-24,45.528,23.01,104.1,15.335,15.335,15.043,23.259,14.751,46.683
Rupnagar,2017,2017-08-14,2017-08-24,127.77,159.639,59.332,14.492,14.506,35.932,96.259,32.039,117.466
Sahibzada Ajit Singh Nagar,2017,2017-08-14,2017-08-24,102.215,118.128,85.985,6.76,6.778,30.451,65.601,19.086,86.162
Sangrur,2017,2017-08-14,2017-08-24,8.133,14.204,64.032,2.559,2.559,2.228,3.493,2.187,29.421
Shahid Bhagat Singh Nagar,2017,2017-08-14,2017-08-24,96.682,109.722,78.02,6.62,6.62,41.635,74.256,19.615,96.504
Tarn Taran,2017,2017-08-14,2017-08-24,17.151,16.17,46.931,3.446,3.446,9.219,13.705,4.023,26.953
Amritsar,2017,2017-08-24,2017-09-03,36.359,16.602,29.268,11.749,11.749,11.573,21.036,11.294,28.396
Barnala,2017,2017-08-24,2017-09-03,71.41,4.76,6.838,2.965,2.965,29.267,55.371,26.376,12.191
Bathinda,2017,2017-08-24,2017-09-03,65.398,1.665,0.947,13.101,13.101,22.492,39.094,14.856,7.341
Faridkot,2017,2017-08-24,2017-09-03,78.008,2.476,0.204,12.491,12.491,57.254,63.319,16.967,5.06
Fatehgarh Sahib,2017,2017-08-24,2017-09-03,95.774,58.343,29.533,0.756,0.756,57.636,94.592,38.727,60.3
Firozpur,2017,2017-08-24,2017-09-03,35.103,5.073,2.938,3.478,3.478,21.46,29.065,6.287,6.22
Gurdaspur,2017,2017-08-24,2017-09-03,66.493,16.92,137.68,20.491,20.491,30.888,36.213,13.473,53.567
Hoshiarpur,2017,2017-08-24,2017-09-03,51.846,49.096,211.612,18.228,18.228,17.505,30.024,13.578,83.555
Jalandhar,2017,2017-08-24,2017-09-03,66.089,94.477,65.172,13.577,13.577,23.836,41.013,15.299,93.792
Kapurthala,2017,2017-08-24,2017-09-03,57.332,91.703,81.419,18.113,18.113,18.086,29.295,14.201,99.012
Ludhiana,2017,2017-08-24,2017-09-03,78.106,52.887,37.251,3.863,3.863,42.358,67.802,26.801,57.7
Mansa,2017,2017-08-24,2017-09-03,48.656,0.924,0.429,5.511,5.511,18.781,34.259,14.418,4.301
Moga,2017,2017-08-24,2017-09-03,104.587,17.099,32.607,16.683,16.683,47.921,69.704,23.079,27.156
Muktsar,2017,2017-08-24,2017-09-03,44.66,8.633,0.318,5.959,5.959,23.721,34.556,8.891,9.3
Patiala,2017,2017-08-24,2017-09-03,81.983,45.528,23.01,2.048,2.048,61.712,78.286,20.543,48.463
Rupnagar,2017,2017-08-24,2017-09-03,75.332,127.77,159.639,20.758,20.758,28.921,52.88,23.941,132.586
Sahibzada Ajit Singh Nagar,2017,2017-08-24,2017-09-03,67.367,102.215,118.128,10.064,10.079,27.726,54.004,25.57,108.87
Sangrur,2017,2017-08-24,2017-09-03,49.198,8.133,14.204,3.791,3.791,18.66,36.074,17.502,16.326
Shahid Bhagat Singh Nagar,2017,2017-08-24,2017-09-03,62.742,96.682,109.722,7.628,7.628,42.179,53.719,14.508,104.918
Tarn Taran,2017,2017-08-24,2017-09-03,24.443,17.151,16.17,6.479,6.479,11.759,16.299,6.032,21.707
Amritsar,2017,2017-09-03,2017-09-13,7.94,36.359,16.602,7.752,7.753,7.132,7.752,1.271,37.317
Barnala,2017,2017-09-03,2017-09-13,12.718,71.41,4.76,6.917,10.659,5.762,6.917,3.944,67.667
Bathinda,2017,2017-09-03,2017-09-13,5.128,65.398,1.665,1.502,1.945,2.828,2.888,1.059,54.141
Faridkot,2017,2017-09-03,2017-09-13,16.824,78.008,2.476,2.736,3.144,12.066,13.68,3.209,65.869
Fatehgarh Sahib,2017,2017-09-03,2017-09-13,14.041,95.774,58.343,3.43,8.426,5.275,10.271,5.024,112.564
Firozpur,2017,2017-09-03,2017-09-13,11.922,35.103,5.073,5.105,5.315,4.02,6.03,3.77,32.019
Gurdaspur,2017,2017-09-03,2017-09-13,34.643,66.493,16.92,25.109,25.736,22.771,25.109,6.145,69.473
Hoshiarpur,2017,2017-09-03,2017-09-13,19.758,51.846,49.096,11.95,13.572,10.682,11.95,5.862,68.607
Jalandhar,2017,2017-09-03,2017-09-13,11.975,66.089,94.477,2.535,4.317,3.338,6.588,3.259,86.442
Kapurthala,2017,2017-09-03,2017-09-13,19.959,57.332,91.703,4.149,5.425,6.315,12.122,5.858,77.885
Ludhiana,2017,2017-09-03,2017-09-13,11.488,78.106,52.887,5.403,7.501,3.947,6.045,2.696,91.881
Mansa,2017,2017-09-03,2017-09-13,1.74,48.656,0.924,1.428,1.671,1.181,1.428,0.337,42.573
Moga,2017,2017-09-03,2017-09-13,18.628,104.587,17.099,4.628,5.084,4.475,9.908,3.72,95.075
Muktsar,2017,2017-09-03,2017-09-13,19.527,44.66,8.633,9.144,9.798,9.607,9.723,7.406,40.608
Patiala,2017,2017-09-03,2017-09-13,7.934,81.983,45.528,1.94,3.782,4.139,5.981,2.072,95.57
Rupnagar,2017,2017-09-03,2017-09-13,20.859,75.332,127.77,1.106,2.899,17.428,19.221,3.356,107.291
Sahibzada Ajit Singh Nagar,2017,2017-09-03,2017-09-13,9.257,67.367,102.215,0.241,2.697,4.88,7.336,2.678,95.525
Sangrur,2017,2017-09-03,2017-09-13,3.191,49.198,8.133,2.612,2.946,2.509,2.612,0.551,48.503
Shahid Bhagat Singh Nagar,2017,2017-09-03,2017-09-13,18.076,62.742,96.682,0.66,1.037,13.06,16.994,4.847,93.738
Tarn Taran,2017,2017-09-03,2017-09-13,10.987,24.443,17.151,3.865,3.903,3.545,5.727,2.302,25.748
Amritsar,2017,2017-09-13,2017-09-23,0.0,7.94,36.359,0.0,0.0,0.0,0.0,0.0,16.814
Barnala,2017,2017-09-13,2017-09-23,0.0,12.718,71.41,0.0,0.0,0.0,0.0,0.0,30.149
Bathinda,2017,2017-09-13,2017-09-23,0.0,5.128,65.398,0.0,0.0,0.0,0.0,0.0,22.902
Faridkot,2017,2017-09-13,2017-09-23,0.0,16.824,78.008,0.0,0.0,0.0,0.0,0.0,37.989
Fatehgarh Sahib,2017,2017-09-13,2017-09-23,0.0,14.041,95.774,0.0,0.0,0.0,0.0,0.0,47.459
Firozpur,2017,2017-09-13,2017-09-23,2.179,11.922,35.103,2.179,2.179,2.179,2.179,0.218,19.759
Gurdaspur,2017,2017-09-13,2017-09-23,0.017,34.643,66.493,0.017,0.017,0.017,0.017,0.002,41.418
Hoshiarpur,2017,2017-09-13,2017-09-23,3.092,19.758,51.846,3.092,3.092,3.092,3.092,0.309,33.787
Jalandhar,2017,2017-09-13,2017-09-23,0.0,11.975,66.089,0.0,0.0,0.0,0.0,0.0,38.035
Kapurthala,2017,2017-09-13,2017-09-23,0.0,19.959,57.332,0.0,0.0,0.0,0.0,0.0,40.705
Ludhiana,2017,2017-09-13,2017-09-23,0.0,11.488,78.106,0.0,0.0,0.0,0.0,0.0,38.595
Mansa,2017,2017-09-13,2017-09-23,0.0,1.74,48.656,0.0,0.0,0.0,0.0,0.0,15.698
Moga,2017,2017-09-13,2017-09-23,0.0,18.628,104.587,0.0,0.0,0.0,0.0,0.0,46.6
Muktsar,2017,2017-09-13,2017-09-23,0.058,19.527,44.66,0.058,0.058,0.058,0.058,0.006,28.454
Patiala,2017,2017-09-13,2017-09-23,0.027,7.934,81.983,0.0,0.027,0.027,0.027,0.003,37.952
Rupnagar,2017,2017-09-13,2017-09-23,0.001,20.859,75.332,0.001,0.001,0.001,0.001,0.0,50.847
Sahibzada Ajit Singh Nagar,2017,2017-09-13,2017-09-23,0.0,9.257,67.367,0.0,0.0,0.0,0.0,0.0,39.574
Sangrur,2017,2017-09-13,2017-09-23,0.0,3.191,49.198,0.0,0.0,0.0,0.0,0.0,18.289
Shahid Bhagat Singh Nagar,2017,2017-09-13,2017-09-23,0.0,18.076,62.742,0.0,0.0,0.0,0.0,0.0,44.994
Tarn Taran,2017,2017-09-13,2017-09-23,0.0,10.987,24.443,0.0,0.0,0.0,0.0,0.0,16.421
Amritsar,2017,2017-09-23,2017-09-30,0.005,0.0,0.115,0.005,0.005,0.005,0.005,0.002,5.863
Barnala,2017,2017-09-23,2017-09-30,7.557,0.0,0.0,7.557,7.557,7.557,7.557,3.023,10.512
Bathinda,2017,2017-09-23,2017-09-30,1.061,0.0,2.888,1.061,1.061,1.061,1.061,0.424,7.985
Faridkot,2017,2017-09-23,2017-09-30,0.0,0.0,13.68,0.0,0.0,0.0,0.0,0.0,13.246
Fatehgarh Sahib,2017,2017-09-23,2017-09-30,44.759,0.0,0.34,44.759,44.759,26.841,44.759,21.487,16.548
Firozpur,2017,2017-09-23,2017-09-30,0.08,0.0,8.209,0.08,0.08,0.08,0.08,0.032,7.932
Gurdaspur,2017,2017-09-23,2017-09-30,5.578,0.0,5.879,5.441,5.449,4.772,5.441,2.31,14.449
Hoshiarpur,2017,2017-09-23,2017-09-30,19.7,0.0,3.951,19.531,19.531,16.925,19.531,8.192,13.112
Jalandhar,2017,2017-09-23,2017-09-30,5.059,0.0,4.408,5.059,5.059,4.879,5.059,2.06,13.262
Kapurthala,2017,2017-09-23,2017-09-30,1.718,0.0,8.727,1.718,1.718,1.669,1.718,0.697,14.193
Ludhiana,2017,2017-09-23,2017-09-30,28.266,0.0,1.43,28.266,28.266,25.702,28.266,11.819,13.457
Mansa,2017,2017-09-23,2017-09-30,0.388,0.0,0.0,0.388,0.388,0.358,0.388,0.161,5.473
Moga,2017,2017-09-23,2017-09-30,1.582,0.0,9.908,1.582,1.582,1.581,1.582,0.633,16.248
Muktsar,2017,2017-09-23,2017-09-30,0.0,0.0,9.781,0.0,0.0,0.0,0.0,0.0,9.949
Patiala,2017,2017-09-23,2017-09-30,34.281,0.027,0.013,34.281,34.281,22.864,34.281,15.996,13.249
Rupnagar,2017,2017-09-23,2017-09-30,73.237,0.0,0.533,72.362,72.362,53.824,72.362,32.535,17.73
Sahibzada Ajit Singh Nagar,2017,2017-09-23,2017-09-30,65.396,0.0,1.68,65.306,65.306,33.593,65.306,32.465,13.798
Sangrur,2017,2017-09-23,2017-09-30,11.207,0.0,0.0,11.207,11.207,10.393,11.207,4.646,6.377
Shahid Bhagat Singh Nagar,2017,2017-09-23,2017-09-30,62.355,0.0,3.979,62.037,62.037,53.158,62.037,26.358,15.689
Tarn Taran,2017,2017-09-23,2017-09-30,0.492,0.0,5.727,0.492,0.492,0.492,0.492,0.197,5.726
Amritsar,2018,2018-06-15,2018-06-25,9.346,22.844,0.149,9.329,9.332,8.256,9.332,1.791,10.943
Barnala,2018,2018-06-15,2018-06-25,43.889,18.009,0.669,40.145,43.889,34.512,43.889,8.521,11.537
Bathinda,2018,2018-06-15,2018-06-25,26.386,9.922,0.12,16.139,26.251,15.565,25.677,9.074,6.734
Faridkot,2018,2018-06-15,2018-06-25,30.995,3.104,0.006,24.606,25.128,24.606,25.128,7.741,2.009
Fatehgarh Sahib,2018,2018-06-15,2018-06-25,56.125,44.1,4.882,55.838,56.125,33.972,56.125,23.077,26.997
Firozpur,2018,2018-06-15,2018-06-25,21.113,4.937,0.037,15.948,18.906,15.75,18.906,4.237,2.391
Gurdaspur,2018,2018-06-15,2018-06-25,6.403,31.583,1.81,5.447,5.547,2.894,5.447,2.331,18.373
Hoshiarpur,2018,2018-06-15,2018-06-25,14.169,32.299,3.405,13.993,14.053,11.227,14.031,3.592,18.819
Jalandhar,2018,2018-06-15,2018-06-25,18.921,28.736,1.564,16.698,18.921,9.714,18.921,7.257,16.128
Kapurthala,2018,2018-06-15,2018-06-25,17.092,35.101,2.21,15.5,17.08,10.592,17.08,5.476,19.486
Ludhiana,2018,2018-06-15,2018-06-25,37.059,29.978,1.279,36.155,37.059,23.087,37.059,14.07,17.198
Mansa,2018,2018-06-15,2018-06-25,22.856,10.026,0.009,9.063,22.856,13.793,22.856,9.442,6.227
Moga,2018,2018-06-15,2018-06-25,18.881,6.511,1.109,16.356,18.637,14.639,18.637,3.517,4.074
Muktsar,2018,2018-06-15,2018-06-25,27.692,2.085,0.0,22.617,25.665,22.617,25.665,4.758,1.456
Patiala,2018,2018-06-15,2018-06-25,41.959,29.526,5.816,38.03,41.959,22.995,41.959,15.831,18.839
Rupnagar,2018,2018-06-15,2018-06-25,40.243,38.942,4.17,40.165,40.243,22.298,40.165,18.158,23.906
Sahibzada Ajit Singh Nagar,2018,2018-06-15,2018-06-25,53.208,26.328,7.653,52.956,53.207,26.814,53.145,26.153,17.702
Sangrur,2018,2018-06-15,2018-06-25,27.889,10.756,0.367,19.846,27.889,17.006,27.889,8.939,6.667
Shahid Bhagat Singh Nagar,2018,2018-06-15,2018-06-25,42.994,56.783,2.26,42.179,42.994,25.188,42.994,17.811,33.358
Tarn Taran,2018,2018-06-15,2018-06-25,12.256,22.939,0.297,11.844,12.01,9.464,12.01,3.088,10.988
Amritsar,2018,2018-06-25,2018-07-05,100.553,9.346,22.844,8.563,25.143,52.087,60.83,17.88,8.239
Barnala,2018,2018-06-25,2018-07-05,87.455,43.889,18.009,0.826,30.313,32.685,54.926,23.285,24.944
Bathinda,2018,2018-06-25,2018-07-05,60.978,26.386,9.922,0.41,9.287,36.014,38.672,13.804,15.639
Faridkot,2018,2018-06-25,2018-07-05,64.741,30.995,3.104,2.143,9.61,29.503,38.702,15.714,18.027
Fatehgarh Sahib,2018,2018-06-25,2018-07-05,109.05,56.125,44.1,9.509,36.683,50.004,71.454,23.606,35.227
Firozpur,2018,2018-06-25,2018-07-05,68.203,21.113,4.937,2.061,10.175,31.081,35.293,17.676,11.888
Gurdaspur,2018,2018-06-25,2018-07-05,88.321,6.403,31.583,5.019,41.237,35.034,41.236,27.678,9.653
Hoshiarpur,2018,2018-06-25,2018-07-05,161.564,14.169,32.299,13.474,117.365,66.175,117.013,40.562,12.842
Jalandhar,2018,2018-06-25,2018-07-05,114.306,18.921,28.736,2.535,60.872,38.074,62.659,32.464,14.458
Kapurthala,2018,2018-06-25,2018-07-05,105.708,17.092,35.101,6.937,52.861,26.89,55.931,25.46,14.822
Ludhiana,2018,2018-06-25,2018-07-05,96.643,37.059,29.978,0.435,59.587,31.028,59.997,28.414,23.145
Mansa,2018,2018-06-25,2018-07-05,67.709,22.856,10.026,1.894,30.81,27.814,37.035,18.809,13.831
Moga,2018,2018-06-25,2018-07-05,46.464,18.881,6.511,0.506,16.275,13.288,29.057,10.115,10.593
Muktsar,2018,2018-06-25,2018-07-05,118.115,27.692,2.085,2.507,12.135,60.317,61.707,31.81,14.773
Patiala,2018,2018-06-25,2018-07-05,105.038,41.959,29.526,14.473,43.153,30.487,61.374,29.632,26.127
Rupnagar,2018,2018-06-25,2018-07-05,133.379,40.243,38.942,3.107,70.454,60.912,69.616,46.627,26.506
Sahibzada Ajit Singh Nagar,2018,2018-06-25,2018-07-05,91.823,53.208,26.328,4.847,21.681,50.795,68.253,20.495,30.347
Sangrur,2018,2018-06-25,2018-07-05,103.811,27.889,10.756,2.018,48.349,45.806,52.786,29.541,15.955
Shahid Bhagat Singh Nagar,2018,2018-06-25,2018-07-05,148.322,42.994,56.783,0.563,104.654,69.542,105.025,38.048,31.033
Tarn Taran,2018,2018-06-25,2018-07-05,81.627,12.256,22.939,5.517,20.154,33.061,43.235,19.09,9.692
Amritsar,2018,2018-07-05,2018-07-15,29.995,100.553,9.346,0.793,0.793,12.876,23.508,10.374,81.472
Barnala,2018,2018-07-05,2018-07-15,14.861,87.455,43.889,5.223,5.223,5.84,9.638,5.285,79.951
Bathinda,2018,2018-07-05,2018-07-15,11.17,60.978,26.386,9.105,9.105,9.105,9.105,2.725,57.738
Faridkot,2018,2018-07-05,2018-07-15,7.529,64.741,30.995,6.549,6.549,6.549,6.549,1.536,54.565
Fatehgarh Sahib,2018,2018-07-05,2018-07-15,9.696,109.05,56.125,0.168,0.168,5.833,6.146,3.627,98.154
Firozpur,2018,2018-07-05,2018-07-15,10.904,68.203,21.113,6.539,6.539,6.539,6.539,3.98,59.968
Gurdaspur,2018,2018-07-05,2018-07-15,58.455,88.321,6.403,0.152,0.218,38.164,55.63,15.083,67.548
Hoshiarpur,2018,2018-07-05,2018-07-15,71.919,161.564,14.169,0.635,0.635,42.866,58.922,17.036,109.134
Jalandhar,2018,2018-07-05,2018-07-15,52.266,114.306,18.921,0.897,0.897,33.495,46.629,10.469,87.6
Kapurthala,2018,2018-07-05,2018-07-15,54.455,105.708,17.092,3.035,3.035,26.181,42.344,10.812,80.168
Ludhiana,2018,2018-07-05,2018-07-15,41.181,96.643,37.059,0.084,0.084,25.472,39.571,15.073,75.826
Mansa,2018,2018-07-05,2018-07-15,9.443,67.709,22.856,3.374,3.374,5.34,6.069,3.571,55.973
Moga,2018,2018-07-05,2018-07-15,17.49,46.464,18.881,2.253,2.253,8.883,11.287,4.443,37.597
Muktsar,2018,2018-07-05,2018-07-15,15.128,118.115,27.692,15.116,15.116,15.116,15.116,1.522,103.527
Patiala,2018,2018-07-05,2018-07-15,29.691,105.038,41.959,4.23,4.23,15.327,16.958,9.185,89.923
Rupnagar,2018,2018-07-05,2018-07-15,30.21,133.379,40.243,0.05,0.05,11.936,18.054,11.341,103.939
Sahibzada Ajit Singh Nagar,2018,2018-07-05,2018-07-15,22.35,91.823,53.208,0.037,0.037,8.348,16.12,5.609,86.44
Sangrur,2018,2018-07-05,2018-07-15,31.973,103.811,27.889,5.144,5.144,19.641,26.824,8.429,86.535
Shahid Bhagat Singh Nagar,2018,2018-07-05,2018-07-15,40.499,148.322,42.994,0.0,0.0,23.184,36.238,13.727,108.596
Tarn Taran,2018,2018-07-05,2018-07-15,25.599,81.627,12.256,1.23,1.23,14.032,18.777,4.927,66.115
Amritsar,2018,2018-07-15,2018-07-25,18.456,29.995,100.553,0.653,2.467,10.29,15.924,4.611,53.314
Barnala,2018,2018-07-15,2018-07-25,76.031,14.861,87.455,13.905,42.668,23.787,42.664,19.953,39.159
Bathinda,2018,2018-07-15,2018-07-25,23.075,11.17,60.978,1.56,6.849,10.543,16.014,4.659,25.72
Faridkot,2018,2018-07-15,2018-07-25,57.6,7.529,64.741,0.034,0.517,27.042,52.133,15.833,22.445
Fatehgarh Sahib,2018,2018-07-15,2018-07-25,93.164,9.696,109.05,21.878,41.758,25.786,50.354,18.877,42.852
Firozpur,2018,2018-07-15,2018-07-25,23.614,10.904,68.203,0.395,1.036,7.993,18.581,7.284,27.238
Gurdaspur,2018,2018-07-15,2018-07-25,39.433,58.455,88.321,12.512,19.397,7.017,17.478,6.647,68.894
Hoshiarpur,2018,2018-07-15,2018-07-25,86.146,71.919,161.564,26.606,44.856,22.464,40.076,17.164,101.585
Jalandhar,2018,2018-07-15,2018-07-25,74.699,52.266,114.306,32.887,43.39,22.833,35.112,17.191,76.444
Kapurthala,2018,2018-07-15,2018-07-25,56.951,54.455,105.708,14.001,22.855,18.303,33.951,11.11,73.725
Ludhiana,2018,2018-07-15,2018-07-25,110.317,41.181,96.643,59.947,83.881,50.317,74.251,20.13,65.726
Mansa,2018,2018-07-15,2018-07-25,36.769,9.443,67.709,2.879,7.648,14.862,28.685,12.942,26.82
Moga,2018,2018-07-15,2018-07-25,48.989,17.49,46.464,14.165,22.572,14.15,25.752,13.679,26.804
Muktsar,2018,2018-07-15,2018-07-25,34.138,15.128,118.115,0.0,0.763,15.521,32.883,15.188,41.965
Patiala,2018,2018-07-15,2018-07-25,69.923,29.691,105.038,26.313,44.641,17.762,36.655,11.928,55.857
Rupnagar,2018,2018-07-15,2018-07-25,90.741,30.21,133.379,40.613,66.873,25.885,40.613,19.688,62.232
Sahibzada Ajit Singh Nagar,2018,2018-07-15,2018-07-25,82.559,22.35,91.823,20.34,37.123,19.392,39.686,18.233,49.723
Sangrur,2018,2018-07-15,2018-07-25,78.961,31.973,103.811,26.454,46.572,26.076,46.194,20.003,58.275
Shahid Bhagat Singh Nagar,2018,2018-07-15,2018-07-25,92.48,40.499,148.322,52.986,78.252,41.334,58.296,20.224,75.87
Tarn Taran,2018,2018-07-15,2018-07-25,25.822,25.599,81.627,2.689,7.458,13.647,17.083,5.43,44.594
Amritsar,2018,2018-07-25,2018-08-04,74.403,18.456,29.995,56.351,57.435,35.598,56.452,21.397,35.211
Barnala,2018,2018-07-25,2018-08-04,20.504,76.031,14.861,15.128,15.519,12.27,15.216,4.264,68.472
Bathinda,2018,2018-07-25,2018-08-04,28.712,23.075,11.17,24.001,27.997,12.516,24.001,11.345,26.55
Faridkot,2018,2018-07-25,2018-08-04,35.626,57.6,7.529,30.286,34.265,23.84,30.286,5.956,55.141
Fatehgarh Sahib,2018,2018-07-25,2018-08-04,33.651,93.164,9.696,15.885,27.28,12.054,27.28,11.461,83.396
Firozpur,2018,2018-07-25,2018-08-04,19.456,23.614,10.904,16.352,18.074,12.421,16.352,3.132,28.843
Gurdaspur,2018,2018-07-25,2018-08-04,51.488,39.433,58.455,38.738,42.507,25.364,38.738,10.46,50.779
Hoshiarpur,2018,2018-07-25,2018-08-04,79.978,86.146,71.919,54.612,59.071,35.614,56.254,19.685,93.928
Jalandhar,2018,2018-07-25,2018-08-04,55.222,74.699,52.266,39.273,43.683,25.34,39.273,11.342,75.588
Kapurthala,2018,2018-07-25,2018-08-04,64.309,56.951,54.455,49.605,52.322,36.266,49.605,12.348,68.732
Ludhiana,2018,2018-07-25,2018-08-04,39.525,110.317,41.181,23.195,30.259,17.325,29.245,7.627,88.904
Mansa,2018,2018-07-25,2018-08-04,23.02,36.769,9.443,10.915,18.901,10.549,11.071,8.102,38.349
Moga,2018,2018-07-25,2018-08-04,61.374,48.989,17.49,54.876,57.361,43.933,54.876,9.817,45.731
Muktsar,2018,2018-07-25,2018-08-04,11.237,34.138,15.128,8.934,9.832,4.65,8.934,4.179,43.325
Patiala,2018,2018-07-25,2018-08-04,39.492,69.923,29.691,21.612,28.68,11.611,28.13,10.044,63.48
Rupnagar,2018,2018-07-25,2018-08-04,145.48,90.741,30.21,108.534,125.187,62.519,118.973,47.595,76.397
Sahibzada Ajit Singh Nagar,2018,2018-07-25,2018-08-04,74.819,82.559,22.35,42.072,68.962,37.849,64.739,24.096,76.037
Sangrur,2018,2018-07-25,2018-08-04,20.044,78.961,31.973,10.605,11.141,9.905,10.738,4.93,72.169
