district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Shahid Bhagat Singh Nagar,2018,2018-07-25,2018-08-04,68.597,92.48,40.499,44.964,51.174,23.398,49.106,21.367,76.89
Tarn Taran,2018,2018-07-25,2018-08-04,68.016,25.822,25.599,54.37,55.493,35.579,54.37,18.982,37.141
Amritsar,2018,2018-08-04,2018-08-14,32.615,74.403,18.456,3.453,11.815,11.297,14.88,5.469,49.449
Barnala,2018,2018-08-04,2018-08-14,34.099,20.504,76.031,2.184,16.745,15.216,29.777,11.82,34.612
Bathinda,2018,2018-08-04,2018-08-14,16.939,28.712,23.075,0.468,4.346,5.587,14.197,5.285,22.998
Faridkot,2018,2018-08-04,2018-08-14,11.057,35.626,57.6,0.0,1.259,4.852,9.781,3.587,35.514
Fatehgarh Sahib,2018,2018-08-04,2018-08-14,75.102,33.651,93.164,10.023,18.318,23.862,45.472,21.835,47.387
Firozpur,2018,2018-08-04,2018-08-14,6.784,19.456,23.614,0.618,2.11,1.689,3.809,1.548,19.011
Gurdaspur,2018,2018-08-04,2018-08-14,134.724,51.488,39.433,40.564,67.197,48.206,66.517,25.773,44.568
Hoshiarpur,2018,2018-08-04,2018-08-14,220.715,79.978,86.146,56.238,108.451,63.509,108.096,44.193,77.189
Jalandhar,2018,2018-08-04,2018-08-14,62.237,55.222,74.699,6.41,32.859,15.462,34.241,13.805,55.66
Kapurthala,2018,2018-08-04,2018-08-14,70.016,64.309,56.951,11.734,41.921,16.314,37.253,14.117,57.632
Ludhiana,2018,2018-08-04,2018-08-14,54.592,39.525,110.317,10.642,26.814,13.594,25.94,10.151,52.384
Mansa,2018,2018-08-04,2018-08-14,10.128,23.02,36.769,0.267,4.907,4.934,9.574,4.401,25.706
Moga,2018,2018-08-04,2018-08-14,42.9,61.374,48.989,8.109,21.01,9.423,20.33,8.789,44.164
Muktsar,2018,2018-08-04,2018-08-14,9.517,11.237,34.138,0.0,0.37,3.723,9.147,3.196,20.617
Patiala,2018,2018-08-04,2018-08-14,41.108,39.492,69.923,4.837,17.739,9.218,17.425,8.749,43.701
Rupnagar,2018,2018-08-04,2018-08-14,205.091,145.48,90.741,34.801,47.441,79.722,151.709,61.016,104.689
Sahibzada Ajit Singh Nagar,2018,2018-08-04,2018-08-14,135.092,74.819,82.559,26.763,38.889,57.019,92.33,37.482,66.138
Sangrur,2018,2018-08-04,2018-08-14,28.529,20.044,78.961,0.145,9.167,9.628,18.65,8.229,36.625
Shahid Bhagat Singh Nagar,2018,2018-08-04,2018-08-14,93.839,68.597,92.48,16.936,29.921,34.626,59.934,21.247,66.213
Tarn Taran,2018,2018-08-04,2018-08-14,40.078,68.016,25.822,4.549,18.927,10.744,21.612,7.585,46.419
Amritsar,2018,2018-08-14,2018-08-24,26.792,32.615,74.403,11.499,13.115,9.987,12.684,8.347,41.894
Barnala,2018,2018-08-14,2018-08-24,53.845,34.099,20.504,12.957,15.515,29.218,32.951,11.393,33.256
Bathinda,2018,2018-08-14,2018-08-24,32.677,16.939,28.712,15.18,15.192,13.242,15.18,12.535,19.443
Faridkot,2018,2018-08-14,2018-08-24,28.041,11.057,35.626,14.191,14.191,13.419,14.191,12.683,20.557
Fatehgarh Sahib,2018,2018-08-14,2018-08-24,53.786,75.102,33.651,7.478,13.738,26.072,30.961,10.785,76.886
Firozpur,2018,2018-08-14,2018-08-24,18.919,6.784,19.456,8.592,8.772,7.96,8.719,7.106,11.427
Gurdaspur,2018,2018-08-14,2018-08-24,79.21,134.724,51.488,35.535,37.55,23.29,37.508,21.545,113.967
Hoshiarpur,2018,2018-08-14,2018-08-24,90.267,220.715,79.978,10.227,22.163,31.069,63.084,29.662,186.237
Jalandhar,2018,2018-08-14,2018-08-24,72.484,62.237,55.222,5.716,15.816,26.594,43.44,17.376,61.037
Kapurthala,2018,2018-08-14,2018-08-24,76.487,70.016,64.309,10.471,16.354,19.633,39.108,16.622,65.74
Ludhiana,2018,2018-08-14,2018-08-24,22.076,54.592,39.525,2.065,9.478,7.413,10.775,6.601,55.529
Mansa,2018,2018-08-14,2018-08-24,24.34,10.128,23.02,15.088,15.116,15.028,15.088,6.612,15.282
Moga,2018,2018-08-14,2018-08-24,54.412,42.9,61.374,9.804,9.948,16.343,31.403,12.916,44.001
Muktsar,2018,2018-08-14,2018-08-24,25.896,9.517,11.237,15.599,15.599,14.665,15.599,9.808,13.989
Patiala,2018,2018-08-14,2018-08-24,59.769,41.108,39.492,5.233,20.965,20.255,35.987,16.825,44.41
Rupnagar,2018,2018-08-14,2018-08-24,22.175,205.091,145.48,10.013,13.545,8.716,10.013,4.092,203.923
Sahibzada Ajit Singh Nagar,2018,2018-08-14,2018-08-24,59.97,135.092,74.819,10.034,42.097,31.937,35.419,12.194,133.286
Sangrur,2018,2018-08-14,2018-08-24,29.649,28.529,20.044,5.187,10.979,16.872,22.664,6.29,32.804
Shahid Bhagat Singh Nagar,2018,2018-08-14,2018-08-24,19.189,93.839,68.597,5.456,7.692,8.499,11.284,4.795,95.645
Tarn Taran,2018,2018-08-14,2018-08-24,39.341,40.078,68.016,10.587,14.176,7.751,17.415,6.897,43.994
Amritsar,2018,2018-08-24,2018-09-03,2.651,26.792,32.615,0.496,1.679,1.183,1.472,0.992,32.936
Barnala,2018,2018-08-24,2018-09-03,7.222,53.845,34.099,4.995,4.995,3.741,4.995,1.861,54.311
Bathinda,2018,2018-08-24,2018-09-03,0.717,32.677,16.939,0.537,0.537,0.389,0.537,0.172,29.193
Faridkot,2018,2018-08-24,2018-09-03,0.06,28.041,11.057,0.051,0.051,0.051,0.051,0.013,22.83
Fatehgarh Sahib,2018,2018-08-24,2018-09-03,61.321,53.786,75.102,16.853,17.448,34.731,34.996,10.585,69.517
Firozpur,2018,2018-08-24,2018-09-03,0.666,18.919,6.784,0.152,0.228,0.262,0.438,0.185,15.099
Gurdaspur,2018,2018-08-24,2018-09-03,36.443,79.21,134.724,16.09,16.229,14.285,17.015,9.037,93.338
Hoshiarpur,2018,2018-08-24,2018-09-03,70.873,90.267,220.715,41.101,41.116,20.54,41.101,14.36,136.416
Jalandhar,2018,2018-08-24,2018-09-03,21.698,72.484,62.237,11.541,12.636,7.579,11.541,6.679,78.784
Kapurthala,2018,2018-08-24,2018-09-03,14.081,76.487,70.016,7.33,8.27,5.409,7.33,3.937,80.06
Ludhiana,2018,2018-08-24,2018-09-03,21.835,22.076,54.592,4.966,5.038,10.177,10.478,6.705,35.519
Mansa,2018,2018-08-24,2018-09-03,2.474,24.34,10.128,2.396,2.396,2.34,2.396,0.29,19.85
Moga,2018,2018-08-24,2018-09-03,4.498,54.412,42.9,0.91,0.912,2.156,3.535,1.457,54.968
Muktsar,2018,2018-08-24,2018-09-03,0.0,25.896,9.517,0.0,0.0,0.0,0.0,0.0,18.745
Patiala,2018,2018-08-24,2018-09-03,47.209,59.769,41.108,17.183,20.831,23.521,23.748,10.035,58.353
