year,window_start,window_end,punjab_mm,upstream_mm,punjab_mm_lag1,upstream_mm_lag1,punjab_mm_lag2,upstream_mm_lag2
2024,2024-06-15,2024-06-25,9.678,12.91,4.669,10.013,1.325,4.212
2024,2024-06-25,2024-07-05,50.518,36.908,9.678,12.91,4.669,10.013
2024,2024-07-05,2024-07-15,51.68,41.05,50.518,36.908,9.678,12.91
2024,2024-07-15,2024-07-25,40.025,39.225,51.68,41.05,50.518,36.908
2024,2024-07-25,2024-08-04,87.133,81.655,40.025,39.225,51.68,41.05
2024,2024-08-04,2024-08-14,77.234,73.082,87.133,81.655,40.025,39.225
2024,2024-08-14,2024-08-24,65.391,51.062,77.234,73.082,87.133,81.655
2024,2024-08-24,2024-09-03,56.268,43.447,65.391,51.062,77.234,73.082
2024,2024-09-03,2024-09-13,49.359,44.045,56.268,43.447,65.391,51.062
2024,2024-09-13,2024-09-23,15.321,28.944,49.359,44.045,56.268,43.447
2024,2024-09-23,2024-09-30,18.872,14.34,4.105,9.49,19.02,30.304
2025,2025-06-15,2025-06-25,35.973,33.343,4.731,7.317,14.619,18.554
2025,2025-06-25,2025-07-05,88.785,93.679,35.973,33.343,4.731,7.317
2025,2025-07-05,2025-07-15,61.668,46.455,88.785,93.679,35.973,33.343
2025,2025-07-15,2025-07-25,78.458,71.274,61.668,46.455,88.785,93.679
2025,2025-07-25,2025-08-04,96.153,100.615,78.458,71.274,61.668,46.455
2025,2025-08-04,2025-08-14,68.546,80.5,96.153,100.615,78.458,71.274
2025,2025-08-14,2025-08-24,81.739,94.81,68.546,80.5,96.153,100.615
2025,2025-08-24,2025-09-03,267.163,236.073,81.739,94.81,68.546,80.5
2025,2025-09-03,2025-09-13,80.568,71.093,267.163,236.073,81.739,94.81
2025,2025-09-13,2025-09-23,32.438,38.578,80.568,71.093,267.163,236.073
2025,2025-09-23,2025-09-30,0.047,0.08,16.728,21.175,24.407,25.514
