variant,pooled_ap,pooled_roc,recall_at_3,recall_at_5,quiet_alert_rate_p50,brier_skill_vs_climatology,ap_2019,ap_2023,ap_2025,n_flooded_2025,caught_2025_top5,missed_2025,n_features,d_ap_vs_persistence,regime
v2_district_rain_logreg,0.2054107262130172,0.8655602066044894,0.5555555555555556,0.7407407407407407,0.0375,-2.48418020272126,0.06118881118881119,0.5278970776449167,0.46128413163984555,6,5,Jalandhar,17,-0.10290339418259448,all_rows
v2_lead_3day,0.2003824854592763,0.892707644855695,0.6296296296296297,0.8518518518518519,0.05073529411764706,-3.041694451676708,0.02786377708978328,0.6748454432277962,0.4183812247586622,6,5,Jalandhar,9,-0.10793163493633537,all_rows
v2_district_rain_small,0.1782924581484547,0.9286920760813688,0.5925925925925926,0.7777777777777778,0.0,0.09026074444470156,0.0328042328042328,0.3782353856217493,0.5862849811446538,6,5,Jalandhar,17,-0.13002166224715697,all_rows
v2_onset_physics,0.13913644130802702,0.7569949328045825,0.2222222222222222,0.48148148148148145,0.1786764705882353,-7.2946027539295955,0.15948275862068967,0.2858694871897786,0.3095957779158678,6,2,"Amritsar,Firozpur,Gurdaspur,Jalandhar",5,-0.16917767908758466,all_rows
v2_district_rain_nested,0.3098590953440174,0.9004748982360923,0.5,0.8,0.0653735632183908,-9.692613387038215,0.06363636363636363,0.08116883116883117,0.513593951093951,6,5,Jalandhar,17,0.2522617322961075,onset
v2_district_rain_logreg,0.2245848835468088,0.889280868385346,0.4,0.7,0.05818965517241379,-7.705033472524805,0.06003584229390681,0.09090909090909091,0.3755922218102418,6,4,"Gurdaspur,Jalandhar",17,0.16698752049889887,onset
v2_nested_no_district_rain,0.2064351509808473,0.851831750339213,0.3,0.8,0.0653735632183908,-9.708486286745234,0.07886904761904762,0.10555555555555556,0.334568758705714,6,5,Gurdaspur,10,0.1488377879329374,onset
v1_no_reservoir,0.1274724063328437,0.9341926729986432,0.6,0.7,0.0,0.04045186239542531,0.28703703703703703,0.041770057899090156,0.5021797451374916,6,4,"Amritsar,Jalandhar",10,0.06987504328493378,onset
v1_statewide,0.12422070321829538,0.9477272727272728,0.5,0.6,0.0,0.03864738892563646,0.08125,0.09347826086956522,0.18222529865604778,6,3,"Amritsar,Gurdaspur,Jalandhar",16,0.06662334017038546,onset
v2_onset_physics,0.11710014020624714,0.8109905020352781,0.3,0.4,0.11997126436781609,-16.00021409977091,0.45,0.06439393939393939,0.18885180549761277,6,2,"Amritsar,Gurdaspur,Jalandhar,Kapurthala",5,0.05950277715833721,onset
v2_lead_5day,0.0901125927555279,0.8964043419267301,0.6,0.9,0.07327586206896551,-11.817209512113982,0.05213903743315508,0.23809523809523808,0.3036871693121693,6,6,-,9,0.03251522970761797,onset
v2_nested_district_rain_only,0.07029878564484648,0.8793758480325644,0.6,0.9,0.08908045977011494,-13.313206973122915,0.04695562435500516,0.23333333333333334,0.24270161055875342,6,6,-,8,0.01270142259693656,onset
persistence,0.057597363047909925,0.8709972862957938,0.6,0.8,0.0,,0.019883040935672516,0.2361111111111111,0.1055257750766904,6,5,Amritsar,1,0.0,onset
v2_district_rain,0.05506025691706094,0.8779511533242876,0.4,0.6,0.0007183908045977011,-0.06844559169201858,0.056948798328108674,0.04265202702702703,0.16620762711864406,6,3,"Amritsar,Gurdaspur,Jalandhar",17,-0.0025371061308489817,onset
v2_nested_antecedent_prior,0.041424842048479814,0.7246268656716418,0.4,0.6,0.10416666666666667,-20.57121084083318,0.031818181818181815,0.35,0.08863242445314917,6,3,"Amritsar,Gurdaspur,Jalandhar",4,-0.01617252099943011,onset
v2_lead_3day,0.03706028097018833,0.7858887381275441,0.5,0.6,0.10057471264367816,-14.646308844581732,0.030341880341880345,0.15555555555555556,0.09903875994405106,6,4,"Amritsar,Tarn Taran",9,-0.02053708207772159,onset
v2_district_rain_small,0.010573910396641444,0.5995929443690637,0.1,0.1,0.0,-0.003784941370387651,0.025833333333333333,0.0392156862745098,0.04918032786885246,6,1,"Firozpur,Gurdaspur,Jalandhar,Kapurthala,Tarn Taran",17,-0.04702345265126848,onset
v2_issue_time,0.009988299849158376,0.5330393487109906,0.1,0.2,0.0,-0.008026405957217042,0.016433189655172414,0.03773584905660377,0.04918032786885246,6,1,"Firozpur,Gurdaspur,Jalandhar,Kapurthala,Tarn Taran",11,-0.04760906319875155,onset
