x,y,district,VV_flood,VH_flood,dVV,dVH,slope,label
487517.3686490393,3503277.4483208344,Amritsar,-0.6224839091300964,-8.459858894348145,2.617943525314331,0.0349351204931736,0.4604201018810272,0
504167.3686490393,3498957.4483208344,Amritsar,-5.685264587402344,-13.288015365600586,2.869637966156006,1.9098973274230957,0.05409321188926697,0
479867.3686490393,3505257.4483208344,Amritsar,-7.507011890411377,-13.124370574951172,0.22762402892112732,3.3514816761016846,0.13750356435775757,0
470777.3686490393,3516057.4483208344,Amritsar,-7.442043781280518,-14.146895408630371,-0.2731972932815552,1.0490443706512451,0.06263644993305206,0
524687.3686490393,3499137.4483208344,Amritsar,-6.941845893859863,-13.32684326171875,0.9882925748825073,1.5005332231521606,0.3344607651233673,0
476537.3686490393,3494277.4483208344,Amritsar,-8.535696029663086,-13.551445960998535,-0.6335729956626892,2.127650737762451,0.15920647978782654,0
492377.3686490393,3488517.4483208344,Amritsar,-7.512679100036621,-13.277619361877441,0.3927287757396698,1.6339647769927979,0.020183350890874863,0
481037.3686490393,3508947.4483208344,Amritsar,-4.765427589416504,-11.189505577087402,2.274301290512085,3.980516195297241,0.5245540142059326,0
477167.3686490393,3525957.4483208344,Amritsar,-1.9693702459335327,-11.001561164855957,0.23038780689239502,0.8197205066680908,0.34521225094795227,0
484907.3686490393,3523617.4483208344,Amritsar,-12.063865661621094,-15.761981010437012,-1.647454857826233,0.7906057834625244,0.23879948258399963,0
516677.3686490393,3488247.4483208344,Amritsar,-6.476242542266846,-12.811738967895508,0.8251366019248962,3.256511688232422,0.06082186847925186,0
470597.3686490393,3530997.4483208344,Amritsar,-5.920097351074219,-12.37804126739502,1.5761431455612183,0.599282443523407,0.6509593725204468,0
471407.3686490393,3496347.4483208344,Amritsar,-10.509248733520508,-14.428023338317871,-4.535604953765869,0.5265311598777771,0.034375447779893875,0
488327.3686490393,3523347.4483208344,Amritsar,-7.597604274749756,-13.721419334411621,-1.2786009311676025,1.512439250946045,0.20597662031650543,0
502007.3686490393,3494907.4483208344,Amritsar,-10.091773986816406,-14.190055847167969,-1.705784797668457,0.7091567516326904,0.06037908419966698,0
513347.3686490393,3498507.4483208344,Amritsar,-8.828335762023926,-13.966339111328125,1.9209787845611572,2.3358969688415527,0.05536497011780739,0
501917.3686490393,3493647.4483208344,Amritsar,-8.172894477844238,-15.161540031433105,1.7236541509628296,5.443347454071045,0.14339348673820496,0
506597.3686490393,3505257.4483208344,Amritsar,-8.927986145019531,-13.46561050415039,-1.9547603130340576,1.9819403886795044,0.13850685954093933,0
471677.3686490393,3495987.4483208344,Amritsar,-8.78226375579834,-13.459542274475098,-2.566035747528076,3.053978681564331,0.8073588609695435,0
495437.3686490393,3505437.4483208344,Amritsar,-3.3166637420654297,-11.591927528381348,1.640710473060608,-0.15786980092525482,1.2184407711029053,0
465737.3686490393,3495177.4483208344,Amritsar,-6.412457466125488,-13.475567817687988,1.3305081129074097,3.1120989322662354,0.15238294005393982,0
510377.3686490393,3506337.4483208344,Amritsar,-10.381909370422363,-15.372117042541504,-2.2617650032043457,0.2627336084842682,0.2804103493690491,0
484097.3686490393,3515787.4483208344,Amritsar,-9.07417106628418,-13.678390502929688,0.5129062533378601,1.64449143409729,0.22071821987628937,0
470327.3686490393,3491397.4483208344,Amritsar,-8.350886344909668,-14.618870735168457,0.4860302805900574,1.8179556131362915,0.03551051765680313,0
490397.3686490393,3526587.4483208344,Amritsar,-6.0849199295043945,-14.291409492492676,1.6367182731628418,0.9784519076347351,0.15597307682037354,0
458087.3686490393,3507507.4483208344,Amritsar,-8.583698272705078,-15.34032917022705,-3.4579172134399414,1.2294752597808838,0.07851656526327133,0
461867.3686490393,3485907.4483208344,Amritsar,-10.238373756408691,-14.951824188232422,-3.3540220260620117,0.3197886645793915,0.18064120411872864,0
475637.3686490393,3503007.4483208344,Amritsar,-7.806608200073242,-13.575949668884277,1.761786699295044,2.8884215354919434,0.2472493201494217,0
518837.3686490393,3507147.4483208344,Amritsar,-6.532796382904053,-12.383584022521973,-0.21299345791339874,1.6659353971481323,0.09899947047233582,0
521447.3686490393,3491577.4483208344,Amritsar,-8.162385940551758,-13.980239868164062,0.9795206189155579,2.0238780975341797,0.1347281038761139,0
467537.3686490393,3493917.4483208344,Amritsar,-6.63624382019043,-12.575763702392578,-1.0697170495986938,2.0827889442443848,0.18247586488723755,0
527927.3686490393,3487077.4483208344,Amritsar,-6.10678243637085,-10.836864471435547,1.2691105604171753,1.5086678266525269,1.1632790565490723,0
509927.3686490393,3506517.4483208344,Amritsar,-8.780118942260742,-13.172472953796387,-1.434281587600708,1.119751214981079,0.1781947761774063,0
512087.3686490393,3496257.4483208344,Amritsar,-10.346138954162598,-15.066633224487305,-0.7659451365470886,0.3725128471851349,0.07568976283073425,0
466637.3686490393,3527937.4483208344,Amritsar,-6.186905384063721,-11.456679344177246,0.8429893255233765,4.166547775268555,0.9655099511146545,0
498857.3686490393,3503007.4483208344,Amritsar,-8.590880393981934,-13.897971153259277,-0.31465575098991394,1.4762715101242065,0.04196851700544357,0
500747.3686490393,3521007.4483208344,Amritsar,-7.284265041351318,-14.571414947509766,1.0241925716400146,3.3429880142211914,0.028529604896903038,0
