date,district,acq_fraction,bbox_fraction,era
2015-06-27,Faridkot,1.0,1.0,era_unreliable
2015-06-27,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-27,Firozpur,1.0,1.0,era_unreliable
2015-06-27,Gurdaspur,1.0,1.0,era_unreliable
2015-06-27,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-27,Jalandhar,1.0,1.0,era_unreliable
2015-06-27,Kapurthala,1.0,1.0,era_unreliable
2015-06-27,Ludhiana,1.0,1.0,era_unreliable
2015-06-27,Mansa,1.0,1.0,era_unreliable
2015-06-27,Moga,1.0,1.0,era_unreliable
2015-06-27,Muktsar,1.0,1.0,era_unreliable
2015-06-27,Nawanshahr,1.0,1.0,era_unreliable
2015-06-27,Patiala,1.0,1.0,era_unreliable
2015-06-27,Rupnagar,1.0,1.0,era_unreliable
2015-06-27,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-27,Sangrur,1.0,1.0,era_unreliable
2015-06-27,Tarn Taran,1.0,1.0,era_unreliable
2015-06-28,Amritsar,1.0,1.0,era_unreliable
2015-06-28,Barnala,1.0,1.0,era_unreliable
2015-06-28,Bathinda,1.0,1.0,era_unreliable
2015-06-28,Faridkot,1.0,1.0,era_unreliable
2015-06-28,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-28,Firozpur,1.0,1.0,era_unreliable
2015-06-28,Gurdaspur,1.0,1.0,era_unreliable
2015-06-28,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-28,Jalandhar,1.0,1.0,era_unreliable
2015-06-28,Kapurthala,1.0,1.0,era_unreliable
2015-06-28,Ludhiana,1.0,1.0,era_unreliable
2015-06-28,Mansa,1.0,1.0,era_unreliable
2015-06-28,Moga,1.0,1.0,era_unreliable
2015-06-28,Muktsar,1.0,1.0,era_unreliable
2015-06-28,Nawanshahr,1.0,1.0,era_unreliable
2015-06-28,Patiala,1.0,1.0,era_unreliable
2015-06-28,Rupnagar,1.0,1.0,era_unreliable
2015-06-28,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-28,Sangrur,1.0,1.0,era_unreliable
2015-06-28,Tarn Taran,1.0,1.0,era_unreliable
2015-06-29,Amritsar,1.0,1.0,era_unreliable
2015-06-29,Barnala,1.0,1.0,era_unreliable
2015-06-29,Bathinda,1.0,1.0,era_unreliable
2015-06-29,Faridkot,1.0,1.0,era_unreliable
2015-06-29,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-29,Firozpur,1.0,1.0,era_unreliable
2015-06-29,Gurdaspur,1.0,1.0,era_unreliable
2015-06-29,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-29,Jalandhar,1.0,1.0,era_unreliable
2015-06-29,Kapurthala,1.0,1.0,era_unreliable
2015-06-29,Ludhiana,1.0,1.0,era_unreliable
2015-06-29,Mansa,1.0,1.0,era_unreliable
2015-06-29,Moga,1.0,1.0,era_unreliable
2015-06-29,Muktsar,1.0,1.0,era_unreliable
2015-06-29,Nawanshahr,1.0,1.0,era_unreliable
2015-06-29,Patiala,1.0,1.0,era_unreliable
2015-06-29,Rupnagar,1.0,1.0,era_unreliable
2015-06-29,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-29,Sangrur,1.0,1.0,era_unreliable
2015-06-29,Tarn Taran,1.0,1.0,era_unreliable
2015-06-30,Amritsar,1.0,1.0,era_unreliable
2015-06-30,Barnala,1.0,1.0,era_unreliable
2015-06-30,Bathinda,1.0,1.0,era_unreliable
2015-06-30,Faridkot,1.0,1.0,era_unreliable
2015-06-30,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-30,Firozpur,1.0,1.0,era_unreliable
2015-06-30,Gurdaspur,1.0,1.0,era_unreliable
2015-06-30,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-30,Jalandhar,1.0,1.0,era_unreliable
2015-06-30,Kapurthala,1.0,1.0,era_unreliable
2015-06-30,Ludhiana,1.0,1.0,era_unreliable
2015-06-30,Mansa,1.0,1.0,era_unreliable
2015-06-30,Moga,1.0,1.0,era_unreliable
2015-06-30,Muktsar,1.0,1.0,era_unreliable
2015-06-30,Nawanshahr,1.0,1.0,era_unreliable
2015-06-30,Patiala,1.0,1.0,era_unreliable
2015-06-30,Rupnagar,1.0,1.0,era_unreliable
2015-06-30,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-30,Sangrur,1.0,1.0,era_unreliable
2015-06-30,Tarn Taran,1.0,1.0,era_unreliable
2015-07-01,Amritsar,1.0,1.0,era_unreliable
2015-07-01,Barnala,1.0,1.0,era_unreliable
2015-07-01,Bathinda,1.0,1.0,era_unreliable
2015-07-01,Faridkot,1.0,1.0,era_unreliable
2015-07-01,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-01,Firozpur,1.0,1.0,era_unreliable
2015-07-01,Gurdaspur,1.0,1.0,era_unreliable
2015-07-01,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-01,Jalandhar,1.0,1.0,era_unreliable
2015-07-01,Kapurthala,1.0,1.0,era_unreliable
2015-07-01,Ludhiana,1.0,1.0,era_unreliable
2015-07-01,Mansa,1.0,1.0,era_unreliable
2015-07-01,Moga,1.0,1.0,era_unreliable
2015-07-01,Muktsar,1.0,1.0,era_unreliable
2015-07-01,Nawanshahr,1.0,1.0,era_unreliable
2015-07-01,Patiala,1.0,1.0,era_unreliable
2015-07-01,Rupnagar,1.0,1.0,era_unreliable
2015-07-01,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-01,Sangrur,1.0,1.0,era_unreliable
2015-07-01,Tarn Taran,1.0,1.0,era_unreliable
2015-07-02,Amritsar,1.0,1.0,era_unreliable
2015-07-02,Barnala,1.0,1.0,era_unreliable
2015-07-02,Bathinda,1.0,1.0,era_unreliable
2015-07-02,Faridkot,1.0,1.0,era_unreliable
2015-07-02,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-02,Firozpur,1.0,1.0,era_unreliable
2015-07-02,Gurdaspur,1.0,1.0,era_unreliable
2015-07-02,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-02,Jalandhar,1.0,1.0,era_unreliable
2015-07-02,Kapurthala,1.0,1.0,era_unreliable
2015-07-02,Ludhiana,1.0,1.0,era_unreliable
2015-07-02,Mansa,1.0,1.0,era_unreliable
2015-07-02,Moga,1.0,1.0,era_unreliable
2015-07-02,Muktsar,1.0,1.0,era_unreliable
2015-07-02,Nawanshahr,1.0,1.0,era_unreliable
2015-07-02,Patiala,1.0,1.0,era_unreliable
2015-07-02,Rupnagar,1.0,1.0,era_unreliable
2015-07-02,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-02,Sangrur,1.0,1.0,era_unreliable
2015-07-02,Tarn Taran,1.0,1.0,era_unreliable
2015-07-03,Amritsar,1.0,1.0,era_unreliable
2015-07-03,Barnala,1.0,1.0,era_unreliable
2015-07-03,Bathinda,1.0,1.0,era_unreliable
2015-07-03,Faridkot,1.0,1.0,era_unreliable
2015-07-03,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-03,Firozpur,1.0,1.0,era_unreliable
2015-07-03,Gurdaspur,1.0,1.0,era_unreliable
2015-07-03,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-03,Jalandhar,1.0,1.0,era_unreliable
2015-07-03,Kapurthala,1.0,1.0,era_unreliable
2015-07-03,Ludhiana,1.0,1.0,era_unreliable
2015-07-03,Mansa,1.0,1.0,era_unreliable
2015-07-03,Moga,1.0,1.0,era_unreliable
2015-07-03,Muktsar,1.0,1.0,era_unreliable
2015-07-03,Nawanshahr,1.0,1.0,era_unreliable
